Гильгамеш|+7-5763-361-74-44 
Атрум Галлиаста|+7-473-458-58-53
Вивиан|+7-31-721-29-86
Грайне|+7-137-723-36-06
Гото Гай|+7-523-084-41-57 
Рюудо Иссей|+7-7917-838-10-79
Илиясвиль фон Айнцберг|+7-02-194-72-78
Кишуа Зелретч Швайнорг|+7-53-785-66-48
Лизритт|+7-167-788-71-99
Лансер|+7-09-812-74-80
Котомине Кирей|29 637 07 68 
Макидера Каэде|4 506 948 61 78
Мато Бьякуя|0 602 648 60 40
Мато Сакура|4 733 896 59 59
Мицузури Аяко|1 150 667 82 42
Фуджимура Тайга|031098434
Химуро Кане|202660876 
Эверджер|52537838863
Эмия Кирицугу|72813494110
Эмия Широ|28692136204
